code;city
3663;Bendigo, Goldfields & Macedon Ranges VIC
3753;Bendigo, Goldfields & Macedon Ranges VIC
3756;Bendigo, Goldfields & Macedon Ranges VIC
3758;Bendigo, Goldfields & Macedon Ranges VIC
3762;Bendigo, Goldfields & Macedon Ranges VIC
3764;Bendigo, Goldfields & Macedon Ranges VIC
2773;Blue Mountains & Central West NSW
2774;Blue Mountains & Central West NSW
2776;Blue Mountains & Central West NSW
2777;Blue Mountains & Central West NSW
2778;Blue Mountains & Central West NSW
2780;Blue Mountains & Central West NSW
2779;Blue Mountains & Central West NSW
2782;Blue Mountains & Central West NSW
2783;Blue Mountains & Central West NSW
2784;Blue Mountains & Central West NSW
2785;Blue Mountains & Central West NSW
2786;Blue Mountains & Central West NSW
2787;Blue Mountains & Central West NSW
2790;Blue Mountains & Central West NSW
2791;Blue Mountains & Central West NSW
2792;Blue Mountains & Central West NSW
2793;Blue Mountains & Central West NSW
2794;Blue Mountains & Central West NSW
2795;Blue Mountains & Central West NSW
2797;Blue Mountains & Central West NSW
2798;Blue Mountains & Central West NSW
2799;Blue Mountains & Central West NSW
2800;Blue Mountains & Central West NSW
2804;Blue Mountains & Central West NSW
2805;Blue Mountains & Central West NSW
2806;Blue Mountains & Central West NSW
2808;Blue Mountains & Central West NSW
2820;Blue Mountains & Central West NSW
2846;Blue Mountains & Central West NSW
2848;Blue Mountains & Central West NSW
2847;Blue Mountains & Central West NSW
2849;Blue Mountains & Central West NSW
2850;Blue Mountains & Central West NSW
2852;Blue Mountains & Central West NSW
2864;Blue Mountains & Central West NSW
2865;Blue Mountains & Central West NSW
2866;Blue Mountains & Central West NSW
2867;Blue Mountains & Central West NSW
2868;Blue Mountains & Central West NSW
4000;Brisbane CBD & Inner Suburbs Brisbane QLD
4005;Brisbane CBD & Inner Suburbs Brisbane QLD
4006;Brisbane CBD & Inner Suburbs Brisbane QLD
4007;Brisbane CBD & Inner Suburbs Brisbane QLD
4008;Brisbane CBD & Inner Suburbs Brisbane QLD
4009;Brisbane CBD & Inner Suburbs Brisbane QLD
4010;Brisbane CBD & Inner Suburbs Brisbane QLD
4011;Brisbane CBD & Inner Suburbs Brisbane QLD
